,Name,Address,Price,Rating,Amenities
0,SPOT ON 69822 Prince Palace,"Near Railway Station, Tilangana, Hyderabad",499.0,3.9 ,"Reception, Free Wifi, Power backup"
1,SPOT ON 74178 K.k Residency,"Regimental Bazaar, Hyderabad",554.0,3.2 ,"TV, Parking Facility, AC"
2,OYO 48349 Sri Sai Lohith Lodge,"Near Regional Passport Office, Hyderabad",572.0,3.6 ,"TV, AC, Reception"
3,SPOT ON 40974 Thirumala Residency,"Near Rathifile Bus Stop, Hyderabad",593.0,4.1 ,"Reception, CCTV Cameras, Security"
4,SPOT ON 46326 Panchavati Residency Annex,"Near Secunderabad, Hyderabad",609.0,3.5 ,"Elevator, Reception, Geyser"
5,SPOT ON 72246 Gayatri Lodge,"Ranigunj, Hyderabad",610.0,3.6 ,"TV, AC, Reception"
6,OYO 74184 Hotel Meredian Comfort Inn,"Near Metro Station, Aghapura, Hyderabad",616.0,3.2 ,"Parking Facility, Reception, Free Wifi"
7,OYO 22250 Prince Residency,"Near Ratifile Bus Stop, Rathifile Bus Stop, Hyderabad",654.0,3.4 ,"Reception, Free Wifi, Power backup"
8,SPOT ON 74055 Panchavati Residency Hotel,"Station Roa, Hyderabad",665.0,3.8 ,"TV, Modern Wardrobe, Private Entrance"
9,SPOT ON 45433 Sree Radha Lodge,"Near Shivaji Nagar, Hyderabad",665.0,4.0 ,"AC, Reception, Single Bed"
10,SPOT ON 49298 Hotel Midland Lodge,"Near Nampally Railway Station, Hyderabad",665.0,4.2 ,"Reception, Daily Housekeeping, CCTV Cameras"
11,OYO 40166 Hotel My Choice,"Near Feelkhana, Hyderabad",698.0,4.5 ,"Center Table, Parking Facility, Center Table"
12,SPOT ON 48871 AY Hotel,"Near HDFC Bank ATM, Charminar, Hyderabad",721.0,4.4 ,"TV, Reception, Queen Sized Bed"
13,SPOT ON 43890 Kaveri Lodge,"Near Kamineni Hospital, L.B.Nagar, Hyderabad",721.0,4.2 ,"Parking Facility, Reception, Daily Housekeeping"
14,OYO 74978 Hotel Aadaab,"Nampally, Hyderabad",739.0,NEW,"Reception, Free Wifi, 24/7 Checkin"
15,OYO 74978 Hotel Aadaab,"Nampally, Hyderabad",739.0,NEW,"Reception, Free Wifi, 24/7 Checkin"
16,SPOT ON 69484 Hotel Rk Residency,"Near Jaam Bagh, Hindustani Lane, Hyderabad",745.0,3.1 ,"AC, TV, AC"
17,OYO 73783 Hotel Sai Pariwar,"500027, Hyderabad",747.0,3.8 ,"Private Entrance, Reception, Free Wifi"
18,SPOT ON 47118 Pummy Lodge,"Near Panjagutta Police Station,Panjagutta, Hyderabad",776.0,4.0 ,"AC, TV, Single Bed"
19,SPOT ON 75242 West Inn Lodge,"Nampally, Hyderabad",776.0,4.3 ,"TV, AC, Reception"
